"account_id","timeclass","result","freq"
1,"blitz","D",579
1,"blitz","L",2820
1,"blitz","W",3616
1,"bullet","D",10
1,"bullet","L",36
1,"bullet","W",135
1,"daily","L",1
1,"rapid","D",1
1,"rapid","L",10
1,"rapid","W",26
2,"blitz","D",231
2,"blitz","L",436
2,"blitz","W",828
2,"bullet","D",60
2,"bullet","L",263
2,"bullet","W",529
2,"rapid","D",56
2,"rapid","L",34
2,"rapid","W",74
3,"blitz","D",441
3,"blitz","L",3850
3,"blitz","W",2843
3,"bullet","D",369
3,"bullet","L",4822
3,"bullet","W",3435
3,"daily","D",9
3,"daily","L",125
3,"daily","W",126
3,"rapid","D",25
3,"rapid","L",126
3,"rapid","W",93
4,"blitz","D",717
4,"blitz","L",1419
4,"blitz","W",3570
4,"bullet","D",602
4,"bullet","L",2247
4,"bullet","W",7138
4,"rapid","D",69
4,"rapid","L",116
4,"rapid","W",508
5,"blitz","D",264
5,"blitz","L",1283
5,"blitz","W",1971
5,"bullet","D",497
5,"bullet","L",4439
5,"bullet","W",4877
5,"daily","D",5
5,"daily","L",7
5,"daily","W",7
5,"rapid","D",19
5,"rapid","L",50
5,"rapid","W",70
6,"blitz","D",398
6,"blitz","L",1081
6,"blitz","W",2155
6,"bullet","D",393
6,"bullet","L",2530
6,"bullet","W",4050
6,"rapid","D",22
6,"rapid","L",18
6,"rapid","W",52
8,"blitz","D",1570
8,"blitz","L",4104
8,"blitz","W",6685
8,"bullet","D",1358
8,"bullet","L",7574
8,"bullet","W",11611
8,"rapid","D",44
8,"rapid","L",36
8,"rapid","W",63
9,"blitz","D",389
9,"blitz","L",1728
9,"blitz","W",3502
9,"bullet","D",22
9,"bullet","L",177
9,"bullet","W",265
9,"daily","D",90
9,"daily","L",293
9,"daily","W",839
9,"rapid","D",148
9,"rapid","L",311
9,"rapid","W",1184
10,"blitz","D",293
10,"blitz","L",530
10,"blitz","W",1140
10,"bullet","D",77
10,"bullet","L",268
10,"bullet","W",467
10,"rapid","D",86
10,"rapid","L",51
10,"rapid","W",132
11,"blitz","D",52
11,"blitz","L",326
11,"blitz","W",342
11,"bullet","L",4
11,"bullet","W",3
11,"rapid","L",3
11,"rapid","W",10
12,"blitz","D",384
12,"blitz","L",1495
12,"blitz","W",2154
12,"bullet","D",324
12,"bullet","L",2694
12,"bullet","W",2650
12,"daily","L",7
12,"daily","W",1
12,"rapid","D",60
12,"rapid","L",76
12,"rapid","W",223
13,"blitz","D",116
13,"blitz","L",541
13,"blitz","W",730
13,"bullet","D",20
13,"bullet","L",114
13,"bullet","W",127
13,"rapid","D",6
13,"rapid","L",20
13,"rapid","W",125
14,"blitz","D",1053
14,"blitz","L",4206
14,"blitz","W",5278
14,"bullet","D",348
14,"bullet","L",3131
14,"bullet","W",3773
14,"daily","D",14
14,"daily","L",182
14,"daily","W",172
14,"rapid","D",47
14,"rapid","L",67
14,"rapid","W",83
15,"blitz","D",68
15,"blitz","L",366
15,"blitz","W",444
15,"bullet","D",19
15,"bullet","L",142
15,"bullet","W",155
15,"rapid","D",19
15,"rapid","L",26
15,"rapid","W",35
16,"blitz","D",164
16,"blitz","L",423
16,"blitz","W",985
16,"bullet","D",19
16,"bullet","L",93
16,"bullet","W",212
16,"rapid","D",14
16,"rapid","L",10
16,"rapid","W",29
17,"blitz","D",76
17,"blitz","L",806
17,"blitz","W",771
17,"bullet","D",24
17,"bullet","L",353
17,"bullet","W",651
17,"rapid","D",16
17,"rapid","L",53
17,"rapid","W",65
18,"blitz","D",366
18,"blitz","L",559
18,"blitz","W",1878
18,"bullet","D",45
18,"bullet","L",220
18,"bullet","W",558
18,"daily","D",43
18,"daily","L",33
18,"daily","W",209
18,"rapid","D",111
18,"rapid","L",69
18,"rapid","W",312
19,"blitz","D",165
19,"blitz","L",1001
19,"blitz","W",1595
19,"bullet","D",200
19,"bullet","L",1773
