"eco","name"
"A00","Unorthodox Openings"
"A01","Nimzovich-Larsen Attack"
"A02","Bird's Opening"
"A03","Bird's Opening"
"A04","Reti Opening"
"A05","Reti Opening"
"A06","Reti Opening"
"A07","Reti Opening"
"A08","Reti Opening"
"A09","Reti Opening"
"A10","English Opening"
"A11","English Opening"
"A12","English Opening"
"A13","English Opening"
"A14","English Opening"
"A15","English Opening"
"A16","English Opening"
"A17","English Opening"
"A18","English Opening"
"A19","English Opening"
"A20","English Opening"
"A21","English Opening"
"A22","English Opening"
"A23","English Opening"
"A24","English Opening"
"A25","English Opening"
"A26","English Opening"
"A27","English Opening"
"A28","English Opening"
"A29","English Opening"
"A30","English Opening"
"A31","English Opening"
"A32","English Opening"
"A33","English Opening"
"A34","English Opening"
"A35","English Opening"
"A36","English Opening"
"A37","English Opening"
"A38","English Opening"
"A39","English Opening"
"A40","Queen's Pawn"
"A41","Queen's Pawn"
"A42","Modern Defence, Averbakh System"
"A43","Old Benoni Defence"
"A44","Old Benoni Defence"
"A45","Queen's Pawn Game"
"A46","Queen's Pawn Game"
"A47","Queen's Indian Defence"
"A48","King's Indian, East Indian Defence"
"A49","King's Indian, East Indian Defence"
"A50","Queen's Pawn Game"
"A51","Budapest Defence"
"A52","Budapest Defence"
"A53","Old Indian Defence"
"A54","Old Indian Defence"
"A55","Old Indian Defence"
"A56","Benoni Defence"
"A57","Benko Gambit"
"A58","Benko Gambit"
"A59","Benko Gambit"
"A60","Benoni Defence"
"A61","Benoni Defence"
"A62","Benoni Defence"
"A63","Benoni Defence"
"A64","Benoni Defence"
"A65","Benoni Defence"
"A66","Benoni Defence"
"A67","Benoni Defence"
"A68","Benoni Defence"
"A69","Benoni Defence"
"A70","Benoni Defence"
"A71","Benoni Defence"
"A72","Benoni Defence"
"A73","Benoni Defence"
"A74","Benoni Defence"
"A75","Benoni Defence"
"A76","Benoni Defence"
"A77","Benoni Defence"
"A78","Benoni Defence"
"A79","Benoni Defence"
"A80","Dutch"
"A81","Dutch"
"A82","Dutch"
"A83","Dutch"
"A84","Dutch"
"A85","Dutch"
"A86","Dutch"
"A87","Dutch"
"A88","Dutch"
"A89","Dutch"
"A90","Dutch"
"A91","Dutch"
"A92","Dutch"
"A93","Dutch"
"A94","Dutch"
"A95","Dutch"
"A96","Dutch"
"A97","Dutch"
"A98","Dutch"
"A99","Dutch"
"B00","King's Pawn Opening"
"B01","Scandinavian (Centre Counter) Defence"
"B02","Alekhine's Defence"
"B03","Alekhine's Defence"
"B04","Alekhine's Defence"
"B05","Alekhine's Defence"
"B06","Robatsch (Modern) Defence"
"B07","Pirc Defence"
"B08","Pirc Defence"
"B09","Pirc Defence"
"B10","Caro-Kann Defence"
"B11","Caro-Kann Defence"
"B12","Caro-Kann Defence"
"B13","Caro-Kann Defence"
"B14","Caro-Kann Defence"
"B15","Caro-Kann Defence"
"B16","Caro-Kann Defence"
"B17","Caro-Kann Defence"
"B18","Caro-Kann Defence"
"B19","Caro-Kann Defence"
"B20","Sicilan Defence"
"B21","Sicilan Defence"
"B22","Sicilan Defence"
"B23","Sicilan Defence"
"B24","Sicilan Defence"
"B25","Sicilan Defence"
"B26","Sicilan Defence"
"B27","Sicilan Defence"
"B28","Sicilan Defence"
"B29","Sicilan Defence"
"B30","Sicilan Defence"
"B31","Sicilan Defence"
"B32","Sicilan Defence"
"B33","Sicilan Defence"
"B34","Sicilan Defence"
"B35","Sicilan Defence"
"B36","Sicilan Defence"
"B37","Sicilan Defence"
"B38","Sicilan Defence"
"B39","Sicilan Defence"
"B40","Sicilan Defence"
"B41","Sicilan Defence"
"B42","Sicilan Defence"
"B43","Sicilan Defence"
"B44","Sicilan Defence"
"B45","Sicilan Defence"
"B46","Sicilan Defence"
"B47","Sicilan Defence"
"B48","Sicilan Defence"
"B49","Sicilan Defence"
"B50","Sicilan Defence"
"B51","Sicilan Defence"
"B52","Sicilan Defence"
"B53","Sicilan Defence"
"B54","Sicilan Defence"
"B55","Sicilan Defence"
"B56","Sicilan Defence"
"B57","Sicilan Defence"
"B58","Sicilan Defence"
"B59","Sicilan Defence"
"B60","Sicilan Defence"
"B61","Sicilan Defence"
"B62","Sicilan Defence"
"B63","Sicilan Defence"
"B64","Sicilan Defence"
"B65","Sicilan Defence"
"B66","Sicilan Defence"
"B67","Sicilan Defence"
"B68","Sicilan Defence"
"B69","Sicilan Defence"
"B70","Sicilan Defence"
"B71","Sicilan Defence"
"B72","Sicilan Defence"
"B73","Sicilan Defence"
"B74","Sicilan Defence"
"B75","Sicilan Defence"
"B76","Sicilan Defence"
"B77","Sicilan Defence"
"B78","Sicilan Defence"
"B79","Sicilan Defence"
"B80","Sicilan Defence"
"B81","Sicilan Defence"
"B82","Sicilan Defence"
"B83","Sicilan Defence"
"B84","Sicilan Defence"
"B85","Sicilan Defence"
"B86","Sicilan Defence"
"B87","Sicilan Defence"
"B88","Sicilan Defence"
"B89","Sicilan Defence"
"B90","Sicilan Defence"
"B91","Sicilan Defence"
"B92","Sicilan Defence"
"B93","Sicilan Defence"
"B94","Sicilan Defence"
"B95","Sicilan Defence"
"B96","Sicilan Defence"
"B97","Sicilan Defence"
"B98","Sicilan Defence"
