"account_id","eco","freq"
188,"A00",9
188,"A01",5
188,"A02",1
188,"A03",2
188,"A04",1
188,"A05",6
188,"A08",1
188,"A10",3
188,"A11",4
188,"A13",2
188,"A15",19
188,"A16",6
188,"A17",2
188,"A20",3
188,"A21",1
188,"A22",2
188,"A31",1
188,"A40",17
188,"A41",4
188,"A43",2
188,"A45",14
188,"A46",33
188,"A47",3
188,"A48",2
188,"A50",56
188,"A53",4
188,"A80",3
188,"A81",1
188,"A84",1
188,"B00",17
188,"B01",7
188,"B02",1
188,"B05",1
188,"B06",5
188,"B07",42
188,"B08",4
188,"B10",10
188,"B11",3
188,"B19",1
188,"B20",2
188,"B21",2
188,"B22",6
188,"B23",3
188,"B27",4
188,"B30",4
188,"B31",4
188,"B32",2
188,"B33",1
188,"B40",26
188,"B41",1
188,"B42",1
188,"B43",1
188,"B47",1
188,"B50",4
188,"B51",3
188,"B53",1
188,"B67",1
188,"B70",1
188,"B77",1
188,"B90",1
188,"B92",3
188,"C00",18
188,"C01",6
188,"C02",5
188,"C03",12
188,"C06",2
188,"C10",1
188,"C11",1
188,"C15",6
188,"C18",4
188,"C20",2
188,"C40",1
188,"C41",2
188,"C42",1
188,"C45",1
188,"C47",1
188,"C48",1
188,"C49",1
188,"C50",2
188,"C53",4
188,"C54",4
188,"C55",3
188,"C57",1
188,"C58",8
188,"C63",2
188,"C65",3
188,"C69",2
188,"C80",1
188,"C82",1
188,"C88",1
188,"D00",5
188,"D02",43
188,"D03",1
188,"D05",1
188,"D10",1
188,"D11",21
188,"D20",1
188,"D24",2
188,"D30",11
188,"E00",1
188,"E10",34
188,"E11",1
188,"E60",29
189,"A00",9
189,"A01",3
189,"A02",1
189,"A03",1
189,"A04",6
189,"A05",4
189,"A07",1
189,"A10",2
189,"A11",1
189,"A15",2
189,"A21",1
189,"A22",1
189,"A34",1
189,"A40",16
189,"A41",1
189,"A43",5
189,"A45",8
189,"A46",5
189,"A50",1
189,"A80",1
189,"A85",1
189,"B00",18
189,"B01",10
189,"B03",1
189,"B06",4
189,"B07",2
189,"B08",1
189,"B10",7
189,"B12",5
189,"B13",1
189,"B14",2
189,"B15",2
189,"B20",17
189,"B21",4
189,"B22",3
189,"B23",6
189,"B24",2
189,"B28",1
189,"B30",8
189,"B31",2
189,"B34",3
189,"B35",2
189,"B36",2
189,"B37",1
189,"B39",4
189,"B40",2
189,"B50",2
189,"B51",2
189,"C00",4
189,"C02",2
189,"C03",2
189,"C10",1
189,"C11",1
189,"C20",1
189,"C25",1
189,"C33",1
189,"C40",2
189,"C41",2
189,"C42",2
189,"C44",2
189,"C46",2
189,"C47",3
189,"C50",2
189,"C55",1
189,"C58",2
189,"C59",1
189,"C65",1
189,"D00",4
189,"D02",7
189,"D03",1
189,"D06",1
189,"D10",10
189,"D11",3
189,"D23",1
189,"D30",6
189,"D32",1
189,"D35",3
189,"D51",1
189,"D96",1
189,"E00",1
189,"E10",1
69,"A00",590
69,"A01",2884
69,"A02",50
69,"A03",3
69,"A04",454
69,"A05",14
